                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.45943,                0.26008,                0.80865,                0.97686,                0.98306,                0.99006,                0.89649,                0.47014,                0.24432,                0.80595,                0.00307,                0.00307,                0.00307
                     73,                0.48993,                0.28423,                0.81237,                0.97664,                0.98313,                0.99005,                0.89673,                0.47011,                0.24428,                0.80594,               0.002971,               0.002971,               0.002971
                     74,                0.48864,                0.28152,                0.81242,                0.97662,                0.98336,                0.99009,                0.89672,                0.46981,                0.24406,                0.80587,               0.002872,               0.002872,               0.002872
                     75,                0.47969,                0.28807,                0.80536,                0.97664,                0.98359,                0.99007,                0.89692,                0.46964,                0.24371,                0.80584,               0.002773,               0.002773,               0.002773
                     76,                0.47736,                0.27583,                0.81082,                 0.9768,                0.98388,                0.99019,                0.89653,                0.46944,                0.24356,                 0.8058,               0.002674,               0.002674,               0.002674
                     77,                 0.4777,                0.27984,                0.81245,                 0.9768,                0.98421,                0.99021,                0.89671,                 0.4691,                0.24291,                0.80576,               0.002575,               0.002575,               0.002575
                     78,                0.47334,                0.27523,                0.80714,                0.97656,                 0.9842,                0.99023,                0.89692,                0.46891,                0.24297,                0.80573,               0.002476,               0.002476,               0.002476
                     79,                 0.4597,                0.26811,                0.80307,                0.97664,                0.98417,                0.99022,                0.89658,                0.46864,                0.24266,                0.80569,               0.002377,               0.002377,               0.002377
                     80,                0.47102,                0.26882,                0.81173,                0.97676,                0.98399,                0.99026,                0.89655,                0.46857,                0.24262,                0.80563,               0.002278,               0.002278,               0.002278
                     81,                0.46742,                0.26847,                0.80971,                 0.9768,                  0.984,                0.99027,                0.89699,                0.46836,                0.24251,                0.80559,               0.002179,               0.002179,               0.002179
                     82,                0.46544,                0.26419,                0.80866,                0.97689,                0.98395,                0.99028,                0.89721,                0.46814,                0.24249,                0.80554,                0.00208,                0.00208,                0.00208
                     83,                0.45699,                0.25994,                0.80631,                0.97696,                0.98389,                0.99025,                0.89737,                0.46793,                0.24249,                0.80554,               0.001981,               0.001981,               0.001981
                     84,                 0.4644,                0.26408,                0.81268,                0.97701,                 0.9838,                0.99026,                0.89772,                0.46774,                0.24243,                0.80551,               0.001882,               0.001882,               0.001882
                     85,                0.45879,                0.26785,                0.80957,                0.97709,                 0.9837,                0.99026,                0.89792,                0.46754,                0.24232,                0.80546,               0.001783,               0.001783,               0.001783
                     86,                0.45802,                0.26262,                0.80839,                0.97687,                0.98365,                0.99023,                0.89776,                0.46729,                0.24206,                0.80546,               0.001684,               0.001684,               0.001684
                     87,                0.44514,                0.25031,                 0.8028,                0.97678,                0.98368,                0.99023,                  0.898,                0.46698,                0.24167,                0.80544,               0.001585,               0.001585,               0.001585
                     88,                 0.4518,                0.25231,                0.80151,                0.97674,                0.98365,                0.99024,                0.89815,                0.46698,                0.24154,                0.80542,               0.001486,               0.001486,               0.001486
                     89,                0.44837,                0.25042,                0.80695,                0.97669,                0.98366,                0.99022,                0.89884,                0.46662,                0.24157,                0.80538,               0.001387,               0.001387,               0.001387
                     90,                 0.4473,                0.25199,                0.80488,                0.97651,                 0.9836,                0.99023,                 0.8992,                0.46636,                0.24141,                0.80535,               0.001288,               0.001288,               0.001288
                     91,                0.42279,                0.22613,                0.80123,                0.97749,                0.98303,                0.99026,                0.89893,                0.46626,                0.24114,                0.80535,               0.001189,               0.001189,               0.001189
                     92,                0.41974,                0.22585,                0.80039,                0.97666,                 0.9835,                0.99024,                0.89927,                0.46617,                0.24128,                0.80535,                0.00109,                0.00109,                0.00109
                     93,                0.41324,                0.21875,                  0.799,                 0.9767,                0.98355,                0.99026,                0.89977,                0.46593,                0.24115,                0.80535,               0.000991,               0.000991,               0.000991
                     94,                0.41505,                0.22103,                 0.7989,                0.97676,                0.98348,                0.99027,                0.89984,                0.46569,                0.24079,                0.80531,               0.000892,               0.000892,               0.000892
                     95,                0.40914,                0.21799,                0.79908,                 0.9766,                0.98351,                0.99027,                0.89973,                0.46566,                0.24056,                0.80532,               0.000793,               0.000793,               0.000793
                     96,                0.40283,                 0.2139,                0.79801,                0.97661,                0.98344,                0.99019,                    0.9,                0.46556,                0.24056,                 0.8053,               0.000694,               0.000694,               0.000694
                     97,                0.39721,                0.20938,                0.79642,                0.97661,                0.98336,                 0.9902,                0.89975,                0.46535,                 0.2405,                0.80529,               0.000595,               0.000595,               0.000595
                     98,                0.40006,                0.20918,                0.79643,                 0.9766,                 0.9833,                 0.9902,                    0.9,                0.46524,                0.24033,                0.80522,               0.000496,               0.000496,               0.000496
                     99,                0.39715,                0.20797,                0.79274,                0.97808,                0.98148,                0.99021,                0.90031,                0.46501,                0.24059,                0.80524,               0.000397,               0.000397,               0.000397
                    100,                0.39107,                0.20485,                0.79696,                0.97808,                0.98151,                0.99024,                0.90066,                0.46511,                0.24077,                0.80522,               0.000298,               0.000298,               0.000298
